product_name,brand,ratings,num_of_reviews,old_price,primary_price,price_range,discount_percentage
Olay Fresh Outlast Body Wash Shea Butter - 22 fl oz,Olay Fresh Outlast,4.0,98182.0,8.29,7.0,$0-10,15.560916767189376
Dove Dry Spray Antiperspirant Deodorant Cool Essentials - 3.8 oz,Dove,4.5,60911.0,9.99,9.0,$0-10,9.909909909909912
Olay Fresh Outlast Body Wash White Strawberry & Mint - 22 fl oz,Olay Fresh Outlast,4.5,52383.0,8.29,7.0,$0-10,15.560916767189376
"Garnier Whole Blends Repairing Shampoo, Honey Treasures - 12.5 fl oz",Garnier Whole Blends,4.0,21943.0,5.99,4.49,$0-10,25.041736227045075
"Garnier Whole Blends Repairing Conditioner, Honey Treasures - 12.5 fl oz",Garnier Whole Blends,4.0,20917.0,5.99,4.49,$0-10,25.041736227045075
ChapStick Flavored Lip Balm Tube Classic Cherry - 0.15 oz,ChapStick,4.0,19896.0,0.0,1.99,$0-10,-inf
Aveeno Daily Moisturizing Oat Body Wash For Dry Skin Unspecified - 18 fl oz,Aveeno,4.5,16269.0,11.99,9.59,$0-10,20.016680567139286
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin Unscented - 12 oz,CeraVe,4.5,16143.0,16.99,13.59,$10-20,20.011771630370802
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid - 8 fl oz,CeraVe,4.5,15927.0,14.99,11.99,$10-20,20.0133422281521
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid Unscented - 16 oz,CeraVe,4.5,15862.0,18.99,15.19,$10-20,20.010531858873087
"Carefree Regular Panty Liners, Unwrapped Unscented, Regular (120 ct) (Actual Item May Vary) - 120 ea",Carefree,4.5,13145.0,0.0,9.49,$0-10,-inf
Crest Complete Whitening Toothpaste Minty Fresh - 5.4 oz,Crest Complete,4.5,12358.0,5.29,4.0,$0-10,24.38563327032136
Dove Beauty Bar Soap Original White - 3.75 oz x 6 pack,Dove,4.5,11569.0,11.49,10.0,$0-10,12.967798085291559
RepHresh Odor Eliminating Vaginal Gel - 4 ea,RepHresh,4.0,11458.0,0.0,29.99,$20-30,-inf
Colgate Optic White Renewal Whitening Toothpaste High Impact White - 3 oz,Colgate Optic White,4.5,9477.0,0.0,10.49,$10-20,-inf
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented - 16 fl oz,CeraVe,4.5,8894.0,18.99,15.19,$10-20,20.010531858873087
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented - 12 fl oz,CeraVe,4.5,8809.0,15.99,12.79,$10-20,20.01250781738587
Nexxus Shampoo Keraphix with ProteinFusion - 13.5 Oz,Nexxus,4.5,8660.0,0.0,17.99,$10-20,-inf
Crest Whitening Plus Scope Toothpaste - 5.4 oz x 2 pack,Crest,4.5,8042.0,8.29,7.0,$0-10,15.560916767189376
Oral-B Dental Floss Picks Scope Flavor - 75 ea,Oral-B,4.5,7986.0,5.29,4.0,$0-10,24.38563327032136
