product_name,brand,ratings,num_of_reviews,old_price,product_price
Vaseline Lip Therapy Lip Balm Mini Original - 0.25 oz,Vaseline,4.0,222.0,0.0,2.99
Plan B One-Step Emergency Contraceptive - 1 ea,Plan B,4.0,1630.0,0.0,49.99
Primatene Mist Epinephrine Inhalation Aerosol 160 Metered Sprays - 1 ea,Primatene,4.0,1513.0,0.0,32.99
Opti-Free PureMoist Multi-Purpose Disinfecting Solution - 10 fl oz x 2 pack,Opti-Free,4.5,779.0,0.0,22.99
"Poise Postpartum Incontinence Pads, Long 6 Drop Ultimate Absorbency Long Length (ct 45) - 45 ea",Poise,4.0,3022.0,0.0,24.99
Cepacol Extra Strength Sore Throat Relief Lozenges Honey Lemon - 16 ea,Cepacol,4.5,274.0,0.0,5.99
Crest Complete Whitening Toothpaste Minty Fresh - 5.4 oz,Crest Complete,4.5,12357.0,0.0,4.0
Vaseline Soothing Hydration Hand and Body Lotion Aloe Soothe - 10 fl oz,Vaseline,4.0,963.0,0.0,5.99
Biotene Moisturizing Mouth Spray Gentle Mint - 1.5 fl oz,Biotene,4.0,532.0,0.0,8.49
BIC Smooth Scented Women's Disposable Razor Lavender - 4 ea,BIC,4.5,837.0,0.0,6.99
Biotene Dry Mouth Lozenges For Fresh Breath Refreshing Mint - 27 ea,Biotene,4.5,648.0,0.0,8.49
Vaseline Nourishing Moisture Body Lotion Essential Healing - 10 fl oz,Vaseline,4.0,1156.0,0.0,5.99
Colgate Toothpaste with Mini Breath Strips Cool Mint - 6 oz,Colgate,4.5,687.0,0.0,4.0
"Olay Complete Daily Moisturizer with Sunscreen SPF 15, Sensitive Fragrance-Free - 4 fl oz",Olay Complete,4.5,591.0,0.0,11.99
Cepacol Extra Strength Sore Throat & Cough Relief Lozenges Mixed Berry - 16 ea,Cepacol,4.5,250.0,0.0,5.99
Nivea Essentially Enriched Body Lotion - 16.9 fl oz,Nivea,4.5,3299.0,0.0,10.99
Softsoap Hand Soap Pump Aloe - 7.5 fl oz,Softsoap,3.0,1116.0,0.0,2.49
Walgreens Fingertip Pulse Oximeter - 1 ea,Walgreens,4.5,4857.0,0.0,34.99
Walgreens Digital Thermometer 30 Second Rigid-Tip - 1 ea,Walgreens,3.5,1003.0,0.0,9.99
Take Action Emergency Contraceptive - 1 EA,Take Action,4.0,1034.0,0.0,39.99
Crest Pro-Health Advanced Extra Whitening Toothpaste - 3.5 oz,Crest Pro-Health Advanced,4.5,579.0,0.0,4.0
"Walgreens Certainty Underpads, Maximum Absorbency XL (30 ct) - 30 ea",Walgreens Certainty,4.5,1451.0,0.0,18.99
Oral-B Dental Floss Picks Scope Flavor - 75 ea,Oral-B,4.5,7983.0,0.0,4.0
"Walgreens Certainty Overnight Incontinence Pads, Ultimate Absorbency - 30 ea",Walgreens Certainty,4.5,1347.0,0.0,12.99
Vanicream Moisturizing Cream - 1 lb,Vanicream,4.5,422.0,0.0,16.99
Tena Intimates Extra Coverage Overnight Incontinence Pads - 28 ea,Tena,4.5,1170.0,0.0,16.99
"Always Infinity Pads, Heavy, with Wings Unscented, Size 2 (32 ct) - 32 ea",Always,4.5,1451.0,0.0,11.99
